,name,face_image,mean,minimum,maximum,median,mode
24,C Vijayakumar,"[[[ 86 116 171]
  [ 90 120 175]
  [ 91 121 176]
  ...
  [ 45  75 132]
  [ 45  76 131]
  [ 46  78 131]]

 [[ 87 117 172]
  [ 90 121 176]
  [ 91 122 177]
  ...
  [ 45  75 132]
  [ 45  76 131]
  [ 45  77 130]]

 [[ 88 119 174]
  [ 91 122 177]
  [ 91 122 177]
  ...
  [ 44  74 131]
  [ 44  75 130]
  [ 43  74 129]]

 ...

 [[ 88 102 144]
  [ 89 101 143]
  [ 88 100 142]
  ...
  [ 45  61  97]
  [ 48  62  98]
  [ 50  64 100]]

 [[ 88 102 144]
  [ 89 101 143]
  [ 88 100 142]
  ...
  [ 45  61  97]
  [ 48  62  98]
  [ 49  63  99]]

 [[ 87 102 141]
  [ 86 101 140]
  [ 85 100 139]
  ...
  [ 45  61  97]
  [ 46  62  98]
  [ 46  62  98]]]",105.07850477430556,9.0,251.0,108.0,130.0
25,Carlos Torres Vila,"[[[140 165 197]
  [134 162 196]
  [138 166 200]
  ...
  [174 202 232]
  [181 209 239]
  [178 206 236]]

 [[132 162 191]
  [133 162 193]
  [142 171 202]
  ...
  [185 213 243]
  [188 216 246]
  [172 202 231]]

 [[125 155 184]
  [131 160 191]
  [135 164 195]
  ...
  [179 205 235]
  [181 209 239]
  [177 205 235]]

 ...

 [[102 119 140]
  [ 89 106 132]
  [ 89 106 132]
  ...
  [138 161 193]
  [131 156 188]
  [135 160 192]]

 [[ 92 109 130]
  [ 95 113 136]
  [ 93 110 136]
  ...
  [146 172 202]
  [155 179 209]
  [147 171 201]]

 [[ 96 113 134]
  [ 98 116 139]
  [ 85 103 126]
  ...
  [146 172 202]
  [160 184 214]
  [160 184 214]]]",166.94114926581108,11.0,254.0,182.0,229.0
26,Carmine Di Sibio,"[[[ 2 28 52]
  [ 3 29 53]
  [ 4 30 54]
  ...
  [34 60 97]
  [34 60 97]
  [36 59 97]]

 [[ 2 28 52]
  [ 3 29 53]
  [ 4 30 54]
  ...
  [34 60 97]
  [34 60 97]
  [36 59 97]]

 [[ 2 28 52]
  [ 3 29 53]
  [ 3 29 53]
  ...
  [34 60 97]
  [34 60 97]
  [36 59 97]]

 ...

 [[ 7  9 17]
  [ 6  8 16]
  [ 6  6 12]
  ...
  [ 4 11 36]
  [ 4 11 36]
  [ 5 13 36]]

 [[ 8 11 16]
  [ 7 10 15]
  [ 6  6 12]
  ...
  [ 4 11 36]
  [ 5 12 37]
  [ 5 13 36]]

 [[ 8 11 15]
  [ 9 12 16]
  [ 9 10 14]
  ...
  [ 4 11 36]
  [ 5 12 37]
  [ 5 13 36]]]",36.53182587144339,1.0,91.0,32.0,30.0
27,Charles G,"[[[187 199 223]
  [194 206 230]
  [206 218 242]
  ...
  [219 217 229]
  [212 210 222]
  [204 202 214]]

 [[198 210 234]
  [206 218 242]
  [196 208 232]
  ...
  [216 212 223]
  [222 220 232]
  [208 206 218]]

 [[206 218 242]
  [214 226 250]
  [182 194 218]
  ...
  [199 195 206]
  [225 223 235]
  [206 204 216]]

 ...

 [[183 197 219]
  [187 199 223]
  [184 196 220]
  ...
  [116 129 185]
  [ 90 106 165]
  [ 52  70 131]]

 [[187 201 224]
  [188 200 224]
  [182 194 218]
  ...
  [ 98 111 167]
  [ 87 101 160]
  [ 33  49 108]]

 [[188 202 225]
  [188 200 224]
  [185 195 219]
  ...
  [105 118 174]
  [ 72  86 144]
  [ 28  42 100]]]",161.73713358914515,1.0,255.0,172.0,205.0
28,Charles Woodburn,"[[[144 160 236]
  [137 156 231]
  [142 159 232]
  ...
  [155 171 237]
  [153 169 235]
  [155 171 238]]

 [[142 158 235]
  [139 158 233]
  [142 159 232]
  ...
  [154 170 236]
  [153 169 235]
  [152 167 236]]

 [[139 155 232]
  [144 160 236]
  [146 161 234]
  ...
  [156 172 238]
  [154 170 236]
  [149 164 233]]

 ...

 [[131 148 234]
  [133 150 231]
  [137 154 233]
  ...
  [162 174 244]
  [153 168 237]
  [149 164 237]]

 [[135 152 233]
  [133 150 231]
  [133 150 229]
  ...
  [159 171 241]
  [153 168 237]
  [151 164 238]]

 [[140 159 234]
  [137 154 235]
  [133 152 233]
  ...
  [155 170 239]
  [156 170 242]
  [153 167 239]]]",172.32483713227828,16.0,225.0,181.0,191.0
29,Chris Beard,"[[[ 27  22  23]
  [ 29  24  25]
  [ 31  26  27]
  ...
  [ 52  39  37]
  [ 52  39  37]
  [ 52  39  37]]

 [[ 27  22  23]
  [ 29  24  25]
  [ 31  26  27]
  ...
  [ 51  38  36]
  [ 51  38  36]
  [ 51  38  36]]

 [[ 27  22  23]
  [ 29  24  25]
  [ 31  26  27]
  ...
  [ 50  37  35]
  [ 52  37  35]
  [ 50  37  35]]

 ...

 [[ 46  41  38]
  [ 46  41  38]
  [ 45  40  37]
  ...
  [186 190 225]
  [186 191 224]
  [186 191 224]]

 [[ 47  42  39]
  [ 46  41  38]
  [ 46  41  38]
  ...
  [182 187 220]
  [183 188 219]
  [184 189 220]]

 [[ 47  42  39]
  [ 47  42  39]
  [ 46  41  38]
  ...
  [181 186 219]
  [182 187 218]
  [183 188 219]]]",56.94671875,12.0,253.0,44.0,45.0
30,Christian Klein,"[[[ 86 115 160]
  [ 84 116 159]
  [ 85 117 160]
  ...
  [122 154 207]
  [124 156 209]
  [128 160 213]]

 [[ 85 114 159]
  [ 86 118 161]
  [ 85 117 160]
  ...
  [122 154 207]
  [124 156 209]
  [128 160 213]]

 [[ 84 113 157]
  [ 84 116 159]
  [ 82 114 157]
  ...
  [121 153 206]
  [124 156 209]
  [128 160 213]]

 ...

 [[ 45  68 106]
  [ 62  82 117]
  [ 56  75 110]
  ...
  [ 78 108 157]
  [ 77 107 156]
  [ 84 111 161]]

 [[ 44  69 101]
  [ 52  75 107]
  [ 50  73 105]
  ...
  [ 79 111 160]
  [ 78 110 159]
  [ 79 112 158]]

 [[ 36  62  92]
  [ 48  74 104]
  [ 45  71 101]
  ...
  [ 78 110 159]
  [ 79 112 158]
  [ 81 114 160]]]",123.88501584427343,7.0,218.0,128.0,171.0
31,Chua Sock Koong,"[[[168 183 216]
  [170 182 216]
  [170 182 216]
  ...
  [136 148 190]
  [136 148 190]
  [136 148 190]]

 [[168 183 216]
  [170 182 216]
  [170 182 216]
  ...
  [135 147 187]
  [135 147 187]
  [135 147 187]]

 [[169 184 217]
  [171 183 217]
  [170 182 216]
  ...
  [134 146 186]
  [133 145 185]
  [134 146 186]]

 ...

 [[ 83  82  91]
  [157 157 175]
  [186 188 212]
  ...
  [166 175 213]
  [165 174 212]
  [163 172 209]]

 [[ 58  58  64]
  [111 111 127]
  [193 196 217]
  ...
  [169 178 216]
  [169 178 215]
  [168 177 214]]

 [[ 68  68  74]
  [ 77  77  91]
  [170 171 192]
  ...
  [168 177 215]
  [168 177 214]
  [168 177 214]]]",190.79648526077096,60.0,214.0,193.0,193.0
32,Chuck Robbins,"[[[106 134 181]
  [110 140 187]
  [114 144 191]
  ...
  [ 79 114 177]
  [ 77 115 180]
  [ 73 110 178]]

 [[104 131 181]
  [108 138 187]
  [113 143 192]
  ...
  [ 81 115 175]
  [ 80 115 181]
  [ 75 112 180]]

 [[101 128 179]
  [105 134 185]
  [111 140 191]
  ...
  [ 80 117 175]
  [ 77 115 179]
  [ 72 112 177]]

 ...

 [[195 140  79]
  [180 130  78]
  [164 132 113]
  ...
  [ 94 134 183]
  [ 93 133 182]
  [ 85 125 174]]

 [[194 140  79]
  [197 137  71]
  [187 134  84]
  ...
  [ 93 134 183]
  [ 91 131 183]
  [ 86 126 178]]

 [[195 142  79]
  [216 150  72]
  [205 136  66]
  ...
  [ 92 133 182]
  [ 88 131 182]
  [ 84 127 178]]]",131.99107142857142,1.0,184.0,139.0,142.0
33,Daniel Zhang,"[[[ 90 101 139]
  [100 111 149]
  [102 113 151]
  ...
  [129 148 193]
  [125 142 191]
  [121 138 187]]

 [[ 94 105 143]
  [ 91 102 140]
  [ 93 102 140]
  ...
  [142 161 199]
  [124 141 184]
  [137 153 199]]

 [[ 92 103 141]
  [ 85  96 134]
  [ 86  97 135]
  ...
  [120 139 172]
  [133 150 189]
  [118 134 176]]

 ...

 [[ 80  87 126]
  [ 63  70 109]
  [ 67  74 113]
  ...
  [ 74  88 124]
  [ 89 101 143]
  [ 98 110 152]]

 [[ 85  91 132]
  [ 71  77 118]
  [ 62  69 108]
  ...
  [ 65  74 111]
  [100 114 156]
  [114 132 173]]

 [[ 88  95 138]
  [ 80  88 128]
  [ 72  81 119]
  ...
  [ 65  71 108]
  [ 87  99 141]
  [ 94 114 155]]]",150.0222773095356,1.0,255.0,162.0,195.0
